t	S	I	R
2.3	998.484	1.25773	0.258384
2.31	998.481	1.25899	0.259642
2.32	998.479	1.26024	0.260901
2.33	998.476	1.2615	0.262161
2.34	998.474	1.26276	0.263422
2.35	998.471	1.26402	0.264685
2.36	998.469	1.26528	0.265949
2.37	998.466	1.26654	0.267214
2.38	998.464	1.2678	0.268481
2.39	998.461	1.26906	0.269749
2.4	998.459	1.27033	0.271018
2.41	998.456	1.2716	0.272288
2.42	998.454	1.27286	0.27356
2.43	998.451	1.27413	0.274833
2.44	998.448	1.2754	0.276107
2.45	998.446	1.27667	0.277382
2.46	998.443	1.27795	0.278659
2.47	998.441	1.27922	0.279937
2.48	998.438	1.2805	0.281216
2.49	998.436	1.28177	0.282497
2.5	998.433	1.28305	0.283778
2.51	998.431	1.28433	0.285061
2.52	998.428	1.28561	0.286346
2.53	998.425	1.28689	0.287631
2.54	998.423	1.28817	0.288918
2.55	998.42	1.28946	0.290206
2.56	998.418	1.29074	0.291496
2.57	998.415	1.29203	0.292787
2.58	998.413	1.29332	0.294079
2.59	998.41	1.29461	0.295372
2.6	998.407	1.2959	0.296666
2.61	998.405	1.29719	0.297962
2.62	998.402	1.29848	0.29926
2.63	998.4	1.29978	0.300558
2.64	998.397	1.30107	0.301858
2.65	998.394	1.30237	0.303159
2.66	998.392	1.30367	0.304461
2.67	998.389	1.30497	0.305765
2.68	998.387	1.30627	0.30707
2.69	998.384	1.30757	0.308376
2.7	998.381	1.30887	0.309684
2.71	998.379	1.31018	0.310993
2.72	998.376	1.31148	0.312303
2.73	998.374	1.31279	0.313614
2.74	998.371	1.3141	0.314927
2.75	998.368	1.31541	0.316241
2.76	998.366	1.31672	0.317557
2.77	998.363	1.31803	0.318873
2.78	998.36	1.31935	0.320191
2.79	998.358	1.32066	0.321511
2.8	998.355	1.32198	0.322831
2.81	998.353	1.3233	0.324153
2.82	998.35	1.32461	0.325477
2.83	998.347	1.32594	0.326801
2.84	998.345	1.32726	0.328127
2.85	998.342	1.32858	0.329454
2.86	998.339	1.3299	0.330783
2.87	998.337	1.33123	0.332113
2.88	998.334	1.33256	0.333444
